;vehicle_did;score
0;166;0.875
1;906;0.875
2;92;0.0
3;18;1.0
4;832;0.0
5;684;0.875
6;314;0.875
7;536;1.0
8;1128;1.0
9;610;1.0
10;388;0.875
11;1054;0.0
12;240;1.0
13;462;0.25
14;758;1.0
15;1720;1.0
16;2238;1.0
17;1498;1.0
18;2090;1.0
19;1572;1.0
20;1942;1.0
21;1794;1.0
22;2016;1.0
23;1646;1.0
24;2386;0.0
25;3052;0.8125
26;3126;0.0625
27;2756;0.0
28;2460;1.0
29;2608;1.0
30;2830;1.0
31;2904;1.0
32;2978;1.0
33;2312;1.0
34;1350;1.0
35;1868;1.0
36;2164;0.75
37;2534;0.0
38;1202;1.0
39;2682;1.0
40;1276;1.0
41;980;0.8125
42;1424;0.8125
